text,language,label
piece of shit,en,insult
pissing,en,insult
piss pig,en,insult
pisspig,en,insult
playboy,en,insult
pleasure chest,en,insult
pole smoker,en,insult
ponyplay,en,insult
poof,en,insult
poon,en,insult
poontang,en,insult
punany,en,insult
poop chute,en,insult
poopchute,en,insult
porn,en,insult
porno,en,insult
pornography,en,insult
prince albert piercing,en,insult
pthc,en,insult
pubes,en,insult
pussy,en,insult
queaf,en,insult
queef,en,insult
quim,en,insult
raghead,en,insult
raging boner,en,insult
rape,en,insult
raping,en,insult
rapist,en,insult
rectum,en,insult
reverse cowgirl,en,insult
rimjob,en,insult
rimming,en,insult
rosy palm,en,insult
rosy palm and her 5 sisters,en,insult
rusty trombone,en,insult
sadism,en,insult
santorum,en,insult
scat,en,insult
schlong,en,insult
scissoring,en,insult
semen,en,insult
sex,en,insult
sexo,en,insult
sexy,en,insult
shaved beaver,en,insult
shaved pussy,en,insult
shemale,en,insult
shibari,en,insult
shit,en,insult
shitblimp,en,insult
shitty,en,insult
shota,en,insult
shrimping,en,insult
skeet,en,insult
slanteye,en,insult
slut,en,insult
s&m,en,insult
smut,en,insult
snatch,en,insult
snowballing,en,insult
sodomize,en,insult
sodomy,en,insult
spic,en,insult
splooge,en,insult
splooge moose,en,insult
spooge,en,insult
spread legs,en,insult
spunk,en,insult
strap on,en,insult
strapon,en,insult
strappado,en,insult
strip club,en,insult
style doggy,en,insult
suck,en,insult
sucks,en,insult
suicide girls,en,insult
sultry women,en,insult
swastika,en,insult
swinger,en,insult
tainted love,en,insult
taste my,en,insult
tea bagging,en,insult
threesome,en,insult
throating,en,insult
tied up,en,insult
tight white,en,insult
tit,en,insult
tits,en,insult
titties,en,insult
titty,en,insult
tongue in a,en,insult
topless,en,insult
tosser,en,insult
towelhead,en,insult
tranny,en,insult
tribadism,en,insult
tub girl,en,insult
tubgirl,en,insult
tushy,en,insult
twat,en,insult
twink,en,insult
twinkie,en,insult
two girls one cup,en,insult
undressing,en,insult
upskirt,en,insult
urethra play,en,insult
urophilia,en,insult
vagina,en,insult
venus mound,en,insult
vibrator,en,insult
violet wand,en,insult
vorarephilia,en,insult
voyeur,en,insult
vulva,en,insult
wank,en,insult
wetback,en,insult
wet dream,en,insult
white power,en,insult
wrapping men,en,insult
wrinkled starfish,en,insult
xx,en,insult
xxx,en,insult
yaoi,en,insult
yellow showers,en,insult
yiffy,en,insult
zoophilia,en,insult
🖕,en,insult
