text,language,label
Why is your bank so utterly incompetent?,en,insult
Your customer service is a total failure.,en,insult
How do I apply for a new credit card?,en,non-insult
Can you help me understand my recent transactions?,en,non-insult
What are the benefits of having a savings account with your bank?,en,non-insult
How do I set up mobile alerts for account activity?,en,non-insult
Can you explain how your investment accounts work?,en,non-insult
How do I change my account password?,en,non-insult
What are your options for retirement planning?,en,non-insult
Can I get assistance with setting up online banking?,en,non-insult
How do I apply for a personal loan?,en,non-insult
What is the process for disputing a charge on my account?,en,non-insult
Can you help me with setting up a direct deposit?,en,non-insult
How can I track my spending using your app?,en,non-insult
What are the requirements for opening a business account?,en,non-insult
How do I close an unused credit card account?,en,non-insult
Can you provide information on your mortgage products?,en,non-insult
What should I do if I forget my online banking password?,en,non-insult
How do I check the status of my loan application?,en,non-insult
Can you explain your fee structure for account maintenance?,en,non-insult
What are the benefits of a high-yield savings account?,en,non-insult
How do I set up a recurring transfer to another account?,en,non-insult
Can you help me with applying for a home equity line of credit?,en,non-insult
How can I view my account statements online?,en,non-insult
What is the process for updating my contact information?,en,non-insult
Can you explain the different types of insurance you offer?,en,non-insult
How do I set up a budget using your online tools?,en,non-insult
Can you help me understand my credit report?,en,non-insult
What are the requirements for a personal line of credit?,en,non-insult
How do I enroll in e-statements?,en,non-insult
Can you assist with setting up a financial plan?,en,non-insult
How do I report a problem with my account?,en,non-insult
What are the benefits of a checking account with no monthly fees?,en,non-insult
How can I get a replacement debit card?,en,non-insult
Can you help me with setting up a savings goal?,en,non-insult
What are your options for auto loan refinancing?,en,non-insult
How do I update my beneficiary information?,en,non-insult
Can you explain how to use your mobile check deposit feature?,en,non-insult
How do I transfer funds from my savings account to my checking account?,en,non-insult
What should I do if I suspect fraudulent activity on my account?,en,non-insult
Can you help me understand the terms of my mortgage?,en,non-insult
How do I apply for a business credit card?,en,non-insult
Can you explain the benefits of your premium accounts?,en,non-insult
How do I schedule an appointment with a bank advisor?,en,non-insult
What are your options for investment accounts?,en,non-insult
How do I set up alerts for low account balances?,en,non-insult
Can you assist with setting up a trust account?,en,non-insult
How do I review my account history?,en,non-insult
What is the process for obtaining a loan pre-approval?,en,non-insult
Can you explain the different types of personal loans available?,en,non-insult
How do I apply for a certificate of deposit?,en,non-insult
Can you help me with setting up account notifications?,en,non-insult
What are the benefits of having a joint account?,en,non-insult
How do I manage my credit card rewards?,en,non-insult
Can you explain the process for opening a retirement account?,en,non-insult
How do I change my account preferences?,en,non-insult
What steps should I take to protect my online banking information?,en,non-insult
Can you provide details on your student loan options?,en,non-insult
How do I update my address with the bank?,en,non-insult
What are the requirements for a home equity loan?,en,non-insult
Can you help me understand the fees associated with my account?,en,non-insult
How do I set up recurring bill payments?,en,non-insult
What are the benefits of a high-yield savings account?,en,non-insult
Can you assist with setting up a financial goal plan?,en,non-insult
How do I track my investments?,en,non-insult
What is the process for disputing a transaction on my account?,en,non-insult
Can you explain how to use your budgeting tools?,en,non-insult
How do I enroll in automatic payment plans?,en,non-insult
Can you help me understand the terms of my car loan?,en,non-insult
What are the benefits of a business checking account?,en,non-insult
How do I update my account information online?,en,non-insult
Can you provide information on your mortgage rates?,en,non-insult
How do I apply for an auto loan?,en,non-insult
What should I do if my account is locked?,en,non-insult
Can you explain your credit card balance transfer options?,en,non-insult
How do I set up a joint account with a family member?,en,non-insult
What are the requirements for a business loan?,en,non-insult
Can you help me understand my loan repayment schedule?,en,non-insult
How do I set up an alert for large transactions?,en,non-insult
What is the process for applying for a credit limit increase?,en,non-insult
Can you assist with setting up a retirement savings plan?,en,non-insult
How do I request a new checkbook?,en,non-insult
What are the benefits of your premium savings accounts?,en,non-insult
Can you help me with applying for a personal line of credit?,en,non-insult
How do I update my account settings in your app?,en,non-insult
What is the process for canceling an account?,en,non-insult
Can you provide information on your auto insurance options?,en,non-insult
How do I apply for a home equity line of credit?,en,non-insult
What are the benefits of opening a student account?,en,non-insult
Can you assist with setting up a financial review appointment?,en,non-insult
How do I access my account information from another device?,en,non-insult
What are your options for managing multiple accounts?,en,non-insult
Can you help me understand the terms of my savings account?,en,non-insult
How do I report an issue with my online banking?,en,non-insult
How do I check my account balance?,en,non-insult
I need help with resetting my online banking password.,en,non-insult
Can you explain how to use your mobile banking app?,en,non-insult
What are the options for personal loans?,en,non-insult
How do I set up automatic bill payments?,en,non-insult
Can you provide details on your investment accounts?,en,non-insult
What is the process for applying for a business loan?,en,non-insult
How do I transfer money between my accounts?,en,non-insult
Can you help me understand my credit score report?,en,non-insult
I want to set up recurring transfers to my savings account.,en,non-insult
How do I report a lost or stolen debit card?,en,non-insult
What are the benefits of opening a joint account?,en,non-insult
Can you assist with setting up two-factor authentication?,en,non-insult
How do I update my mailing address for account correspondence?,en,non-insult
What types of insurance do you offer?,en,non-insult
Can I get a copy of my account statements?,en,non-insult
How do I close an account that I no longer use?,en,non-insult
Can you explain the fees associated with overdraft protection?,en,non-insult
How do I apply for a mortgage pre-approval?,en,non-insult
Can you help me with setting up a retirement account?,en,non-insult
What are your policies on account security and fraud prevention?,en,non-insult
How can I access my account information on a different device?,en,non-insult
Can you provide information on your student loan options?,en,non-insult
How do I change my account preferences?,en,non-insult
What should I do if I suspect fraudulent activity on my account?,en,non-insult
Can you explain your credit card reward programs?,en,non-insult
How do I schedule an appointment with a financial advisor?,en,non-insult
What is the process for disputing a transaction?,en,non-insult
Can I get help with creating a budget plan using your tools?,en,non-insult
How do I apply for a car loan online?,en,non-insult
What are the requirements for opening a new account?,en,non-insult
How can I set up alerts for my account activity?,en,non-insult
Can you explain the differences between your credit card options?,en,non-insult
How do I check my loan application status?,en,non-insult
What steps should I take if I forget my online banking password?,en,non-insult
How do I update my contact information?,en,non-insult
What are the options for consolidating my debt?,en,non-insult
Can you provide information on your mortgage rates?,en,non-insult
How do I access my tax documents through online banking?,en,non-insult
Can I link my external bank accounts to your system?,en,non-insult
What are the benefits of setting up direct deposit?,en,non-insult
How do I request a new debit card?,en,non-insult
Can you explain how to use your financial planning tools?,en,non-insult
How do I handle a dispute with a merchant on my account?,en,non-insult
Can you assist with setting up account notifications?,en,non-insult
What are the options for managing my account’s security settings?,en,non-insult
How do I review my account’s transaction history?,en,non-insult
Can you help me understand my account’s interest rates?,en,non-insult
How do I make a wire transfer from my account?,en,non-insult
What should I do if I notice a suspicious transaction?,en,non-insult
Can you provide information on your savings account options?,en,non-insult
How do I access customer support for banking issues?,en,non-insult
What are the steps for closing a joint account?,en,non-insult
How can I set up automatic payments for my utilities?,en,non-insult
Can you explain how to use your online budgeting tools?,en,non-insult
What steps should I take to ensure my account’s security?,en,non-insult
How do I update my email address associated with my account?,en,non-insult
What are the options for upgrading my account plan?,en,non-insult
